cycle,event_type,agent_id,context
57,MOVE,X,"{""position"": ""0,0""}"
58,GAME_END,system,"{""result"": ""X""}"
59,GAME_START,system,{}
60,MOVE,X,"{""position"": ""1,0""}"
61,MOVE,O,"{""position"": ""1,2""}"
62,MOVE,X,"{""position"": ""2,2""}"
63,MOVE,O,"{""position"": ""0,1""}"
64,MOVE,X,"{""position"": ""0,2""}"
65,MOVE,O,"{""position"": ""2,1""}"
66,MOVE,X,"{""position"": ""1,1""}"
67,MOVE,O,"{""position"": ""2,0""}"
68,MOVE,X,"{""position"": ""0,0""}"
69,GAME_END,system,"{""result"": ""X""}"
70,GAME_START,system,{}
71,MOVE,X,"{""position"": ""2,2""}"
72,MOVE,O,"{""position"": ""2,0""}"
73,MOVE,X,"{""position"": ""2,1""}"
74,MOVE,O,"{""position"": ""1,1""}"
75,MOVE,X,"{""position"": ""0,2""}"
76,MOVE,O,"{""position"": ""1,2""}"
77,MOVE,X,"{""position"": ""1,0""}"
78,MOVE,O,"{""position"": ""0,1""}"
79,MOVE,X,"{""position"": ""0,0""}"
80,GAME_END,system,"{""result"": ""draw""}"
81,GAME_START,system,{}
82,MOVE,X,"{""position"": ""1,2""}"
83,MOVE,O,"{""position"": ""0,1""}"
84,MOVE,X,"{""position"": ""2,2""}"
85,MOVE,O,"{""position"": ""1,0""}"
86,MOVE,X,"{""position"": ""0,0""}"
87,MOVE,O,"{""position"": ""0,2""}"
88,MOVE,X,"{""position"": ""2,1""}"
89,MOVE,O,"{""position"": ""2,0""}"
90,MOVE,X,"{""position"": ""1,1""}"
91,GAME_END,system,"{""result"": ""X""}"
92,GAME_START,system,{}
93,MOVE,X,"{""position"": ""0,2""}"
94,MOVE,O,"{""position"": ""1,0""}"
95,MOVE,X,"{""position"": ""1,1""}"
96,MOVE,O,"{""position"": ""0,0""}"
97,MOVE,X,"{""position"": ""1,2""}"
98,MOVE,O,"{""position"": ""2,1""}"
99,MOVE,X,"{""position"": ""2,2""}"
100,GAME_END,system,"{""result"": ""X""}"
101,GAME_START,system,{}
102,MOVE,X,"{""position"": ""1,2""}"
103,MOVE,O,"{""position"": ""2,0""}"
104,MOVE,X,"{""position"": ""2,1""}"
105,MOVE,O,"{""position"": ""2,2""}"
106,MOVE,X,"{""position"": ""0,2""}"
107,MOVE,O,"{""position"": ""1,0""}"
108,MOVE,X,"{""position"": ""0,1""}"
109,MOVE,O,"{""position"": ""1,1""}"
110,MOVE,X,"{""position"": ""0,0""}"
111,GAME_END,system,"{""result"": ""X""}"
112,GAME_START,system,{}
113,MOVE,X,"{""position"": ""2,0""}"
114,MOVE,O,"{""position"": ""1,0""}"
115,MOVE,X,"{""position"": ""0,0""}"
116,MOVE,O,"{""position"": ""1,2""}"
117,MOVE,X,"{""position"": ""2,2""}"
118,MOVE,O,"{""position"": ""1,1""}"
119,GAME_END,system,"{""result"": ""O""}"
120,GAME_START,system,{}
121,MOVE,X,"{""position"": ""2,2""}"
122,MOVE,O,"{""position"": ""2,1""}"
123,MOVE,X,"{""position"": ""0,0""}"
124,MOVE,O,"{""position"": ""1,2""}"
125,MOVE,X,"{""position"": ""1,1""}"
126,GAME_END,system,"{""result"": ""X""}"
127,GAME_START,system,{}
128,MOVE,X,"{""position"": ""0,2""}"
129,MOVE,O,"{""position"": ""0,1""}"
130,MOVE,X,"{""position"": ""1,1""}"
131,MOVE,O,"{""position"": ""0,0""}"
132,MOVE,X,"{""position"": ""2,0""}"
133,GAME_END,system,"{""result"": ""X""}"
134,GAME_START,system,{}
135,MOVE,X,"{""position"": ""0,0""}"
136,MOVE,O,"{""position"": ""1,2""}"
137,MOVE,X,"{""position"": ""0,1""}"
138,MOVE,O,"{""position"": ""0,2""}"
139,MOVE,X,"{""position"": ""1,1""}"
140,MOVE,O,"{""position"": ""1,0""}"
141,MOVE,X,"{""position"": ""2,2""}"
142,GAME_END,system,"{""result"": ""X""}"
143,GAME_START,system,{}
144,MOVE,X,"{""position"": ""2,2""}"
145,MOVE,O,"{""position"": ""2,0""}"
146,MOVE,X,"{""position"": ""1,1""}"
147,MOVE,O,"{""position"": ""0,0""}"
148,MOVE,X,"{""position"": ""2,1""}"
149,MOVE,O,"{""position"": ""0,1""}"
150,MOVE,X,"{""position"": ""1,2""}"
151,MOVE,O,"{""position"": ""0,2""}"
152,GAME_END,system,"{""result"": ""O""}"
153,GAME_START,system,{}
154,MOVE,X,"{""position"": ""0,1""}"
155,MOVE,O,"{""position"": ""1,1""}"
156,MOVE,X,"{""position"": ""0,0""}"
157,MOVE,O,"{""position"": ""1,0""}"
158,MOVE,X,"{""position"": ""2,0""}"
159,MOVE,O,"{""position"": ""2,1""}"
160,MOVE,X,"{""position"": ""2,2""}"
161,MOVE,O,"{""position"": ""1,2""}"
162,GAME_END,system,"{""result"": ""O""}"
163,GAME_START,system,{}
164,MOVE,X,"{""position"": ""2,0""}"
165,MOVE,O,"{""position"": ""1,1""}"
166,MOVE,X,"{""position"": ""1,2""}"
167,MOVE,O,"{""position"": ""0,0""}"
168,MOVE,X,"{""position"": ""0,1""}"
169,MOVE,O,"{""position"": ""1,0""}"
170,MOVE,X,"{""position"": ""0,2""}"
171,MOVE,O,"{""position"": ""2,1""}"
172,MOVE,X,"{""position"": ""2,2""}"
173,GAME_END,system,"{""result"": ""X""}"
174,GAME_START,system,{}
175,MOVE,X,"{""position"": ""1,1""}"
176,MOVE,O,"{""position"": ""0,0""}"
177,MOVE,X,"{""position"": ""1,2""}"
178,MOVE,O,"{""position"": ""0,1""}"
179,MOVE,X,"{""position"": ""2,0""}"
180,MOVE,O,"{""position"": ""0,2""}"
181,GAME_END,system,"{""result"": ""O""}"
182,GAME_START,system,{}
183,MOVE,X,"{""position"": ""2,0""}"
184,MOVE,O,"{""position"": ""2,1""}"
185,MOVE,X,"{""position"": ""0,1""}"
186,MOVE,O,"{""position"": ""1,2""}"
187,MOVE,X,"{""position"": ""2,2""}"
188,MOVE,O,"{""position"": ""1,0""}"
189,MOVE,X,"{""position"": ""1,1""}"
190,MOVE,O,"{""position"": ""0,2""}"
191,MOVE,X,"{""position"": ""0,0""}"
192,GAME_END,system,"{""result"": ""X""}"
193,GAME_START,system,{}
194,MOVE,X,"{""position"": ""1,0""}"
195,MOVE,O,"{""position"": ""0,1""}"
196,MOVE,X,"{""position"": ""2,0""}"
197,MOVE,O,"{""position"": ""0,2""}"
198,MOVE,X,"{""position"": ""2,1""}"
199,MOVE,O,"{""position"": ""1,1""}"
200,MOVE,X,"{""position"": ""0,0""}"
201,GAME_END,system,"{""result"": ""X""}"
202,GAME_START,system,{}
203,MOVE,X,"{""position"": ""0,2""}"
204,MOVE,O,"{""position"": ""1,1""}"
205,MOVE,X,"{""position"": ""0,0""}"
206,MOVE,O,"{""position"": ""2,0""}"
207,MOVE,X,"{""position"": ""1,0""}"
208,MOVE,O,"{""position"": ""1,2""}"
209,MOVE,X,"{""position"": ""2,1""}"
210,MOVE,O,"{""position"": ""2,2""}"
211,MOVE,X,"{""position"": ""0,1""}"
212,GAME_END,system,"{""result"": ""X""}"
213,GAME_START,system,{}
214,MOVE,X,"{""position"": ""1,1""}"
215,MOVE,O,"{""position"": ""0,0""}"
216,MOVE,X,"{""position"": ""2,1""}"
217,MOVE,O,"{""position"": ""2,2""}"
218,MOVE,X,"{""position"": ""1,0""}"
219,MOVE,O,"{""position"": ""0,2""}"
220,MOVE,X,"{""position"": ""2,0""}"
221,MOVE,O,"{""position"": ""1,2""}"
222,GAME_END,system,"{""result"": ""O""}"
223,GAME_START,system,{}
224,MOVE,X,"{""position"": ""0,0""}"
225,MOVE,O,"{""position"": ""2,2""}"
226,MOVE,X,"{""position"": ""2,1""}"
227,MOVE,O,"{""position"": ""1,0""}"
228,MOVE,X,"{""position"": ""0,2""}"
229,MOVE,O,"{""position"": ""0,1""}"
230,MOVE,X,"{""position"": ""1,2""}"
231,MOVE,O,"{""position"": ""1,1""}"
232,MOVE,X,"{""position"": ""2,0""}"
233,GAME_END,system,"{""result"": ""draw""}"
234,GAME_START,system,{}
235,MOVE,X,"{""position"": ""0,1""}"
236,MOVE,O,"{""position"": ""2,0""}"
237,MOVE,X,"{""position"": ""2,2""}"
238,MOVE,O,"{""position"": ""0,2""}"
239,MOVE,X,"{""position"": ""2,1""}"
240,MOVE,O,"{""position"": ""0,0""}"
241,MOVE,X,"{""position"": ""1,1""}"
242,GAME_END,system,"{""result"": ""X""}"
243,GAME_START,system,{}
244,MOVE,X,"{""position"": ""0,0""}"
245,MOVE,O,"{""position"": ""2,1""}"
246,MOVE,X,"{""position"": ""1,1""}"
247,MOVE,O,"{""position"": ""0,1""}"
248,MOVE,X,"{""position"": ""1,0""}"
249,MOVE,O,"{""position"": ""1,2""}"
250,MOVE,X,"{""position"": ""0,2""}"
251,MOVE,O,"{""position"": ""2,0""}"
252,MOVE,X,"{""position"": ""2,2""}"
253,GAME_END,system,"{""result"": ""X""}"
254,GAME_START,system,{}
255,MOVE,X,"{""position"": ""1,0""}"
256,MOVE,O,"{""position"": ""2,0""}"
257,MOVE,X,"{""position"": ""1,2""}"
258,MOVE,O,"{""position"": ""1,1""}"
259,MOVE,X,"{""position"": ""0,0""}"
260,MOVE,O,"{""position"": ""2,1""}"
261,MOVE,X,"{""position"": ""0,2""}"
262,MOVE,O,"{""position"": ""2,2""}"
263,GAME_END,system,"{""result"": ""O""}"
264,GAME_START,system,{}
265,MOVE,X,"{""position"": ""2,0""}"
266,MOVE,O,"{""position"": ""2,1""}"
267,MOVE,X,"{""position"": ""0,1""}"
268,MOVE,O,"{""position"": ""2,2""}"
269,MOVE,X,"{""position"": ""1,0""}"
270,MOVE,O,"{""position"": ""0,2""}"
271,MOVE,X,"{""position"": ""0,0""}"
272,GAME_END,system,"{""result"": ""X""}"
273,GAME_START,system,{}
274,MOVE,X,"{""position"": ""1,1""}"
275,MOVE,O,"{""position"": ""0,1""}"
276,MOVE,X,"{""position"": ""1,2""}"
277,MOVE,O,"{""position"": ""2,0""}"
278,MOVE,X,"{""position"": ""2,1""}"
279,MOVE,O,"{""position"": ""0,2""}"
280,MOVE,X,"{""position"": ""2,2""}"
281,MOVE,O,"{""position"": ""1,0""}"
282,MOVE,X,"{""position"": ""0,0""}"
283,GAME_END,system,"{""result"": ""X""}"
284,GAME_START,system,{}
285,MOVE,X,"{""position"": ""1,0""}"
286,MOVE,O,"{""position"": ""1,1""}"
287,MOVE,X,"{""position"": ""0,0""}"
288,MOVE,O,"{""position"": ""0,2""}"
289,MOVE,X,"{""position"": ""2,0""}"
290,GAME_END,system,"{""result"": ""X""}"
291,GAME_START,system,{}
292,MOVE,X,"{""position"": ""2,2""}"
293,MOVE,O,"{""position"": ""0,2""}"
294,MOVE,X,"{""position"": ""1,2""}"
295,MOVE,O,"{""position"": ""1,0""}"
296,MOVE,X,"{""position"": ""2,1""}"
297,MOVE,O,"{""position"": ""0,0""}"
298,MOVE,X,"{""position"": ""0,1""}"
299,MOVE,O,"{""position"": ""2,0""}"
300,GAME_END,system,"{""result"": ""O""}"
301,GAME_START,system,{}
302,MOVE,X,"{""position"": ""2,1""}"
303,MOVE,O,"{""position"": ""2,0""}"
304,MOVE,X,"{""position"": ""1,2""}"
305,MOVE,O,"{""position"": ""0,1""}"
306,MOVE,X,"{""position"": ""0,2""}"
307,MOVE,O,"{""position"": ""1,0""}"
308,MOVE,X,"{""position"": ""1,1""}"
309,MOVE,O,"{""position"": ""0,0""}"
310,GAME_END,system,"{""result"": ""O""}"
311,GAME_START,system,{}
312,MOVE,X,"{""position"": ""1,1""}"
313,MOVE,O,"{""position"": ""0,2""}"
314,MOVE,X,"{""position"": ""1,2""}"
315,MOVE,O,"{""position"": ""2,0""}"
316,MOVE,X,"{""position"": ""0,1""}"
317,MOVE,O,"{""position"": ""2,2""}"
318,MOVE,X,"{""position"": ""1,0""}"
319,GAME_END,system,"{""result"": ""X""}"
320,GAME_START,system,{}
321,MOVE,X,"{""position"": ""0,2""}"
322,MOVE,O,"{""position"": ""0,0""}"
323,MOVE,X,"{""position"": ""2,2""}"
324,MOVE,O,"{""position"": ""1,2""}"
325,MOVE,X,"{""position"": ""0,1""}"
326,MOVE,O,"{""position"": ""1,0""}"
327,MOVE,X,"{""position"": ""2,0""}"
328,MOVE,O,"{""position"": ""2,1""}"
329,MOVE,X,"{""position"": ""1,1""}"
330,GAME_END,system,"{""result"": ""X""}"
331,GAME_START,system,{}
332,MOVE,X,"{""position"": ""2,2""}"
333,MOVE,O,"{""position"": ""1,0""}"
334,MOVE,X,"{""position"": ""0,0""}"
335,MOVE,O,"{""position"": ""0,1""}"
336,MOVE,X,"{""position"": ""2,0""}"
337,MOVE,O,"{""position"": ""2,1""}"
338,MOVE,X,"{""position"": ""1,1""}"
339,GAME_END,system,"{""result"": ""X""}"
340,GAME_START,system,{}
341,MOVE,X,"{""position"": ""1,0""}"
342,MOVE,O,"{""position"": ""0,2""}"
343,MOVE,X,"{""position"": ""2,1""}"
344,MOVE,O,"{""position"": ""0,0""}"
345,MOVE,X,"{""position"": ""2,2""}"
346,MOVE,O,"{""position"": ""1,2""}"
347,MOVE,X,"{""position"": ""0,1""}"
348,MOVE,O,"{""position"": ""2,0""}"
349,MOVE,X,"{""position"": ""1,1""}"
350,GAME_END,system,"{""result"": ""X""}"
351,GAME_START,system,{}
352,MOVE,X,"{""position"": ""2,1""}"
353,MOVE,O,"{""position"": ""1,0""}"
354,MOVE,X,"{""position"": ""0,2""}"
355,MOVE,O,"{""position"": ""2,0""}"
356,MOVE,X,"{""position"": ""0,1""}"
357,MOVE,O,"{""position"": ""2,2""}"
358,MOVE,X,"{""position"": ""1,1""}"
359,GAME_END,system,"{""result"": ""X""}"
360,GAME_START,system,{}
361,MOVE,X,"{""position"": ""2,0""}"
362,MOVE,O,"{""position"": ""0,2""}"
363,MOVE,X,"{""position"": ""2,1""}"
364,MOVE,O,"{""position"": ""0,1""}"
365,MOVE,X,"{""position"": ""1,0""}"
366,MOVE,O,"{""position"": ""1,1""}"
367,MOVE,X,"{""position"": ""0,0""}"
368,GAME_END,system,"{""result"": ""X""}"
369,GAME_START,system,{}
370,MOVE,X,"{""position"": ""2,1""}"
371,MOVE,O,"{""position"": ""2,2""}"
372,MOVE,X,"{""position"": ""2,0""}"
373,MOVE,O,"{""position"": ""1,0""}"
374,MOVE,X,"{""position"": ""1,1""}"
375,MOVE,O,"{""position"": ""0,2""}"
376,MOVE,X,"{""position"": ""0,1""}"
377,GAME_END,system,"{""result"": ""X""}"
378,GAME_START,system,{}
379,MOVE,X,"{""position"": ""1,0""}"
380,MOVE,O,"{""position"": ""0,0""}"
381,MOVE,X,"{""position"": ""1,2""}"
382,MOVE,O,"{""position"": ""0,2""}"
383,MOVE,X,"{""position"": ""2,0""}"
384,MOVE,O,"{""position"": ""2,1""}"
385,MOVE,X,"{""position"": ""0,1""}"
386,MOVE,O,"{""position"": ""1,1""}"
387,MOVE,X,"{""position"": ""2,2""}"
388,GAME_END,system,"{""result"": ""draw""}"
389,GAME_START,system,{}
390,MOVE,X,"{""position"": ""2,1""}"
391,MOVE,O,"{""position"": ""0,2""}"
392,MOVE,X,"{""position"": ""2,2""}"
393,MOVE,O,"{""position"": ""1,2""}"
394,MOVE,X,"{""position"": ""1,1""}"
395,MOVE,O,"{""position"": ""2,0""}"
396,MOVE,X,"{""position"": ""0,0""}"
397,GAME_END,system,"{""result"": ""X""}"
398,GAME_START,system,{}
399,MOVE,X,"{""position"": ""1,0""}"
400,MOVE,O,"{""position"": ""2,2""}"
401,MOVE,X,"{""position"": ""2,1""}"
402,MOVE,O,"{""position"": ""0,2""}"
403,MOVE,X,"{""position"": ""0,1""}"
404,MOVE,O,"{""position"": ""1,1""}"
405,MOVE,X,"{""position"": ""0,0""}"
406,MOVE,O,"{""position"": ""2,0""}"
407,GAME_END,system,"{""result"": ""O""}"
408,GAME_START,system,{}
409,MOVE,X,"{""position"": ""0,1""}"
410,MOVE,O,"{""position"": ""0,0""}"
411,MOVE,X,"{""position"": ""2,0""}"
412,MOVE,O,"{""position"": ""1,2""}"
413,MOVE,X,"{""position"": ""2,1""}"
414,MOVE,O,"{""position"": ""2,2""}"
415,MOVE,X,"{""position"": ""1,0""}"
416,MOVE,O,"{""position"": ""1,1""}"
417,GAME_END,system,"{""result"": ""O""}"
418,GAME_START,system,{}
419,MOVE,X,"{""position"": ""1,0""}"
420,MOVE,O,"{""position"": ""0,0""}"
421,MOVE,X,"{""position"": ""1,1""}"
422,MOVE,O,"{""position"": ""2,1""}"
423,MOVE,X,"{""position"": ""1,2""}"
424,GAME_END,system,"{""result"": ""X""}"
425,GAME_START,system,{}
426,MOVE,X,"{""position"": ""1,1""}"
427,MOVE,O,"{""position"": ""2,1""}"
428,MOVE,X,"{""position"": ""2,0""}"
429,MOVE,O,"{""position"": ""0,0""}"
430,MOVE,X,"{""position"": ""0,2""}"
431,GAME_END,system,"{""result"": ""X""}"
432,GAME_START,system,{}
433,MOVE,X,"{""position"": ""2,2""}"
434,MOVE,O,"{""position"": ""1,1""}"
435,MOVE,X,"{""position"": ""1,0""}"
436,MOVE,O,"{""position"": ""0,1""}"
437,MOVE,X,"{""position"": ""2,1""}"
438,MOVE,O,"{""position"": ""0,2""}"
439,MOVE,X,"{""position"": ""2,0""}"
440,GAME_END,system,"{""result"": ""X""}"
441,GAME_START,system,{}
442,MOVE,X,"{""position"": ""0,0""}"
443,MOVE,O,"{""position"": ""0,1""}"
444,MOVE,X,"{""position"": ""1,1""}"
445,MOVE,O,"{""position"": ""0,2""}"
446,MOVE,X,"{""position"": ""2,1""}"
447,MOVE,O,"{""position"": ""1,2""}"
448,MOVE,X,"{""position"": ""1,0""}"
449,MOVE,O,"{""position"": ""2,0""}"
450,MOVE,X,"{""position"": ""2,2""}"
451,GAME_END,system,"{""result"": ""X""}"
452,GAME_START,system,{}
453,MOVE,X,"{""position"": ""1,1""}"
454,MOVE,O,"{""position"": ""0,1""}"
455,MOVE,X,"{""position"": ""1,0""}"
456,MOVE,O,"{""position"": ""0,2""}"
457,MOVE,X,"{""position"": ""0,0""}"
458,MOVE,O,"{""position"": ""2,2""}"
459,MOVE,X,"{""position"": ""2,1""}"
460,MOVE,O,"{""position"": ""2,0""}"
461,MOVE,X,"{""position"": ""1,2""}"
462,GAME_END,system,"{""result"": ""X""}"
463,GAME_START,system,{}
464,MOVE,X,"{""position"": ""2,0""}"
465,MOVE,O,"{""position"": ""0,0""}"
466,MOVE,X,"{""position"": ""1,0""}"
467,MOVE,O,"{""position"": ""0,2""}"
468,MOVE,X,"{""position"": ""0,1""}"
469,MOVE,O,"{""position"": ""2,2""}"
470,MOVE,X,"{""position"": ""2,1""}"
471,MOVE,O,"{""position"": ""1,2""}"
472,GAME_END,system,"{""result"": ""O""}"
473,GAME_START,system,{}
474,MOVE,X,"{""position"": ""0,2""}"
475,MOVE,O,"{""position"": ""1,2""}"
476,MOVE,X,"{""position"": ""2,2""}"
477,MOVE,O,"{""position"": ""2,1""}"
478,MOVE,X,"{""position"": ""1,1""}"
479,MOVE,O,"{""position"": ""0,0""}"
480,MOVE,X,"{""position"": ""0,1""}"
481,MOVE,O,"{""position"": ""1,0""}"
482,MOVE,X,"{""position"": ""2,0""}"
483,GAME_END,system,"{""result"": ""X""}"
484,GAME_START,system,{}
485,MOVE,X,"{""position"": ""0,2""}"
486,MOVE,O,"{""position"": ""2,2""}"
487,MOVE,X,"{""position"": ""1,2""}"
488,MOVE,O,"{""position"": ""2,1""}"
489,MOVE,X,"{""position"": ""1,0""}"
490,MOVE,O,"{""position"": ""0,0""}"
491,MOVE,X,"{""position"": ""2,0""}"
492,MOVE,O,"{""position"": ""0,1""}"
493,MOVE,X,"{""position"": ""1,1""}"
494,GAME_END,system,"{""result"": ""X""}"
495,GAME_START,system,{}
496,MOVE,X,"{""position"": ""0,0""}"
497,MOVE,O,"{""position"": ""1,1""}"
498,MOVE,X,"{""position"": ""2,0""}"
499,MOVE,O,"{""position"": ""2,1""}"
500,MOVE,X,"{""position"": ""1,2""}"
501,MOVE,O,"{""position"": ""0,1""}"
502,GAME_END,system,"{""result"": ""O""}"
503,GAME_START,system,{}
504,MOVE,X,"{""position"": ""2,2""}"
505,MOVE,O,"{""position"": ""0,0""}"
506,MOVE,X,"{""position"": ""2,1""}"
507,MOVE,O,"{""position"": ""0,2""}"
508,MOVE,X,"{""position"": ""0,1""}"
509,MOVE,O,"{""position"": ""1,0""}"
510,MOVE,X,"{""position"": ""1,1""}"
511,GAME_END,system,"{""result"": ""X""}"
512,GAME_START,system,{}
513,MOVE,X,"{""position"": ""1,1""}"
514,MOVE,O,"{""position"": ""2,0""}"
515,MOVE,X,"{""position"": ""2,2""}"
516,MOVE,O,"{""position"": ""2,1""}"
517,MOVE,X,"{""position"": ""0,0""}"
518,GAME_END,system,"{""result"": ""X""}"
519,GAME_START,system,{}
520,MOVE,X,"{""position"": ""0,0""}"
521,MOVE,O,"{""position"": ""2,1""}"
522,MOVE,X,"{""position"": ""1,0""}"
523,MOVE,O,"{""position"": ""0,1""}"
524,MOVE,X,"{""position"": ""1,2""}"
525,MOVE,O,"{""position"": ""2,2""}"
526,MOVE,X,"{""position"": ""0,2""}"
527,MOVE,O,"{""position"": ""2,0""}"
528,GAME_END,system,"{""result"": ""O""}"
529,GAME_START,system,{}
530,MOVE,X,"{""position"": ""2,2""}"
531,MOVE,O,"{""position"": ""1,1""}"
532,MOVE,X,"{""position"": ""1,2""}"
533,MOVE,O,"{""position"": ""0,0""}"
534,MOVE,X,"{""position"": ""1,0""}"
535,MOVE,O,"{""position"": ""0,2""}"
536,MOVE,X,"{""position"": ""2,0""}"
537,MOVE,O,"{""position"": ""0,1""}"
538,GAME_END,system,"{""result"": ""O""}"
539,GAME_START,system,{}
540,MOVE,X,"{""position"": ""1,1""}"
541,MOVE,O,"{""position"": ""0,2""}"
542,MOVE,X,"{""position"": ""2,1""}"
543,MOVE,O,"{""position"": ""1,2""}"
544,MOVE,X,"{""position"": ""1,0""}"
545,MOVE,O,"{""position"": ""0,1""}"
546,MOVE,X,"{""position"": ""2,2""}"
547,MOVE,O,"{""position"": ""0,0""}"
548,GAME_END,system,"{""result"": ""O""}"
549,GAME_START,system,{}
550,MOVE,X,"{""position"": ""0,1""}"
551,MOVE,O,"{""position"": ""1,1""}"
552,MOVE,X,"{""position"": ""2,1""}"
553,MOVE,O,"{""position"": ""2,2""}"
554,MOVE,X,"{""position"": ""1,0""}"
555,MOVE,O,"{""position"": ""0,0""}"
556,GAME_END,system,"{""result"": ""O""}"
557,GAME_START,system,{}
558,MOVE,X,"{""position"": ""1,2""}"
559,MOVE,O,"{""position"": ""0,0""}"
560,MOVE,X,"{""position"": ""2,1""}"
561,MOVE,O,"{""position"": ""2,0""}"
562,MOVE,X,"{""position"": ""1,1""}"
563,MOVE,O,"{""position"": ""2,2""}"
564,MOVE,X,"{""position"": ""0,2""}"
565,MOVE,O,"{""position"": ""0,1""}"
566,MOVE,X,"{""position"": ""1,0""}"
567,GAME_END,system,"{""result"": ""X""}"
568,GAME_START,system,{}
569,MOVE,X,"{""position"": ""2,0""}"
570,MOVE,O,"{""position"": ""0,1""}"
571,MOVE,X,"{""position"": ""0,0""}"
572,MOVE,O,"{""position"": ""1,1""}"
573,MOVE,X,"{""position"": ""2,1""}"
574,MOVE,O,"{""position"": ""1,2""}"
575,MOVE,X,"{""position"": ""0,2""}"
576,MOVE,O,"{""position"": ""1,0""}"
577,GAME_END,system,"{""result"": ""O""}"
578,GAME_START,system,{}
579,MOVE,X,"{""position"": ""1,2""}"
580,MOVE,O,"{""position"": ""2,2""}"
581,MOVE,X,"{""position"": ""2,1""}"
582,MOVE,O,"{""position"": ""0,0""}"
583,MOVE,X,"{""position"": ""1,0""}"
584,MOVE,O,"{""position"": ""2,0""}"
585,MOVE,X,"{""position"": ""1,1""}"
586,GAME_END,system,"{""result"": ""X""}"
587,GAME_START,system,{}
588,MOVE,X,"{""position"": ""1,0""}"
589,MOVE,O,"{""position"": ""1,1""}"
590,MOVE,X,"{""position"": ""0,1""}"
591,MOVE,O,"{""position"": ""2,1""}"
592,MOVE,X,"{""position"": ""2,0""}"
593,MOVE,O,"{""position"": ""0,2""}"
594,MOVE,X,"{""position"": ""0,0""}"
595,GAME_END,system,"{""result"": ""X""}"
596,GAME_START,system,{}
597,MOVE,X,"{""position"": ""0,2""}"
598,MOVE,O,"{""position"": ""1,2""}"
599,MOVE,X,"{""position"": ""0,0""}"
600,MOVE,O,"{""position"": ""2,2""}"
601,MOVE,X,"{""position"": ""0,1""}"
602,GAME_END,system,"{""result"": ""X""}"
603,GAME_START,system,{}
604,MOVE,X,"{""position"": ""1,1""}"
605,MOVE,O,"{""position"": ""1,0""}"
606,MOVE,X,"{""position"": ""0,0""}"
607,MOVE,O,"{""position"": ""0,1""}"
608,MOVE,X,"{""position"": ""2,0""}"
609,MOVE,O,"{""position"": ""1,2""}"
610,MOVE,X,"{""position"": ""2,2""}"
611,GAME_END,system,"{""result"": ""X""}"
612,GAME_START,system,{}
613,MOVE,X,"{""position"": ""2,2""}"
614,MOVE,O,"{""position"": ""0,2""}"
