cycle,event_type,agent_id,context
37,MOVE,X,"{""position"": ""0,2"", ""board"": ""X-X----O-""}"
38,MOVE,O,"{""position"": ""2,0"", ""board"": ""X-X---OO-""}"
39,MOVE,X,"{""position"": ""1,1"", ""board"": ""X-X-X-OO-""}"
40,MOVE,O,"{""position"": ""1,2"", ""board"": ""X-X-XOOO-""}"
41,MOVE,X,"{""position"": ""2,2"", ""board"": ""X-X-XOOOX""}"
42,GAME_END,system,"{""result"": ""X"", ""final_board"": ""X-X-XOOOX""}"
43,GAME_START,system,{}
44,MOVE,X,"{""position"": ""1,1"", ""board"": ""----X----""}"
45,MOVE,O,"{""position"": ""2,1"", ""board"": ""----X--O-""}"
46,MOVE,X,"{""position"": ""1,0"", ""board"": ""---XX--O-""}"
47,MOVE,O,"{""position"": ""0,1"", ""board"": ""-O-XX--O-""}"
48,MOVE,X,"{""position"": ""0,2"", ""board"": ""-OXXX--O-""}"
49,MOVE,O,"{""position"": ""1,2"", ""board"": ""-OXXXO-O-""}"
50,MOVE,X,"{""position"": ""2,0"", ""board"": ""-OXXXOXO-""}"
51,GAME_END,system,"{""result"": ""X"", ""final_board"": ""-OXXXOXO-""}"
52,GAME_START,system,{}
53,MOVE,X,"{""position"": ""2,1"", ""board"": ""-------X-""}"
54,MOVE,O,"{""position"": ""2,2"", ""board"": ""-------XO""}"
55,MOVE,X,"{""position"": ""1,0"", ""board"": ""---X---XO""}"
56,MOVE,O,"{""position"": ""0,0"", ""board"": ""O--X---XO""}"
57,MOVE,X,"{""position"": ""1,2"", ""board"": ""O--X-X-XO""}"
58,MOVE,O,"{""position"": ""1,1"", ""board"": ""O--XOX-XO""}"
59,GAME_END,system,"{""result"": ""O"", ""final_board"": ""O--XOX-XO""}"
60,GAME_START,system,{}
61,MOVE,X,"{""position"": ""1,2"", ""board"": ""-----X---""}"
62,MOVE,O,"{""position"": ""1,0"", ""board"": ""---O-X---""}"
63,MOVE,X,"{""position"": ""2,0"", ""board"": ""---O-XX--""}"
64,MOVE,O,"{""position"": ""0,2"", ""board"": ""--OO-XX--""}"
65,MOVE,X,"{""position"": ""0,1"", ""board"": ""-XOO-XX--""}"
66,MOVE,O,"{""position"": ""0,0"", ""board"": ""OXOO-XX--""}"
67,MOVE,X,"{""position"": ""1,1"", ""board"": ""OXOOXXX--""}"
68,MOVE,O,"{""position"": ""2,2"", ""board"": ""OXOOXXX-O""}"
69,MOVE,X,"{""position"": ""2,1"", ""board"": ""OXOOXXXXO""}"
70,GAME_END,system,"{""result"": ""X"", ""final_board"": ""OXOOXXXXO""}"
71,GAME_START,system,{}
72,MOVE,X,"{""position"": ""0,2"", ""board"": ""--X------""}"
73,MOVE,O,"{""position"": ""2,0"", ""board"": ""--X---O--""}"
74,MOVE,X,"{""position"": ""1,2"", ""board"": ""--X--XO--""}"
75,MOVE,O,"{""position"": ""0,1"", ""board"": ""-OX--XO--""}"
76,MOVE,X,"{""position"": ""0,0"", ""board"": ""XOX--XO--""}"
77,MOVE,O,"{""position"": ""1,0"", ""board"": ""XOXO-XO--""}"
78,MOVE,X,"{""position"": ""1,1"", ""board"": ""XOXOXXO--""}"
79,MOVE,O,"{""position"": ""2,2"", ""board"": ""XOXOXXO-O""}"
80,MOVE,X,"{""position"": ""2,1"", ""board"": ""XOXOXXOXO""}"
81,GAME_END,system,"{""result"": ""draw"", ""final_board"": ""XOXOXXOXO""}"
82,GAME_START,system,{}
83,MOVE,X,"{""position"": ""0,0"", ""board"": ""X--------""}"
84,MOVE,O,"{""position"": ""2,1"", ""board"": ""X------O-""}"
85,MOVE,X,"{""position"": ""1,2"", ""board"": ""X----X-O-""}"
86,MOVE,O,"{""position"": ""1,0"", ""board"": ""X--O-X-O-""}"
87,MOVE,X,"{""position"": ""1,1"", ""board"": ""X--OXX-O-""}"
88,MOVE,O,"{""position"": ""0,1"", ""board"": ""XO-OXX-O-""}"
89,MOVE,X,"{""position"": ""2,2"", ""board"": ""XO-OXX-OX""}"
90,GAME_END,system,"{""result"": ""X"", ""final_board"": ""XO-OXX-OX""}"
91,GAME_START,system,{}
92,MOVE,X,"{""position"": ""0,0"", ""board"": ""X--------""}"
93,MOVE,O,"{""position"": ""2,1"", ""board"": ""X------O-""}"
94,MOVE,X,"{""position"": ""0,1"", ""board"": ""XX-----O-""}"
95,MOVE,O,"{""position"": ""1,2"", ""board"": ""XX---O-O-""}"
96,MOVE,X,"{""position"": ""1,0"", ""board"": ""XX-X-O-O-""}"
97,MOVE,O,"{""position"": ""2,2"", ""board"": ""XX-X-O-OO""}"
98,MOVE,X,"{""position"": ""2,0"", ""board"": ""XX-X-OXOO""}"
99,GAME_END,system,"{""result"": ""X"", ""final_board"": ""XX-X-OXOO""}"
100,GAME_START,system,{}
101,MOVE,X,"{""position"": ""0,2"", ""board"": ""--X------""}"
102,MOVE,O,"{""position"": ""0,0"", ""board"": ""O-X------""}"
103,MOVE,X,"{""position"": ""1,2"", ""board"": ""O-X--X---""}"
104,MOVE,O,"{""position"": ""1,1"", ""board"": ""O-X-OX---""}"
105,MOVE,X,"{""position"": ""2,0"", ""board"": ""O-X-OXX--""}"
106,MOVE,O,"{""position"": ""2,2"", ""board"": ""O-X-OXX-O""}"
107,GAME_END,system,"{""result"": ""O"", ""final_board"": ""O-X-OXX-O""}"
108,GAME_START,system,{}
109,MOVE,X,"{""position"": ""0,0"", ""board"": ""X--------""}"
110,MOVE,O,"{""position"": ""0,1"", ""board"": ""XO-------""}"
111,MOVE,X,"{""position"": ""2,1"", ""board"": ""XO-----X-""}"
112,MOVE,O,"{""position"": ""1,2"", ""board"": ""XO---O-X-""}"
113,MOVE,X,"{""position"": ""1,1"", ""board"": ""XO--XO-X-""}"
114,MOVE,O,"{""position"": ""1,0"", ""board"": ""XO-OXO-X-""}"
115,MOVE,X,"{""position"": ""2,0"", ""board"": ""XO-OXOXX-""}"
116,MOVE,O,"{""position"": ""0,2"", ""board"": ""XOOOXOXX-""}"
117,MOVE,X,"{""position"": ""2,2"", ""board"": ""XOOOXOXXX""}"
118,GAME_END,system,"{""result"": ""X"", ""final_board"": ""XOOOXOXXX""}"
119,GAME_START,system,{}
120,MOVE,X,"{""position"": ""1,1"", ""board"": ""----X----""}"
121,MOVE,O,"{""position"": ""0,0"", ""board"": ""O---X----""}"
122,MOVE,X,"{""position"": ""1,0"", ""board"": ""O--XX----""}"
123,MOVE,O,"{""position"": ""2,2"", ""board"": ""O--XX---O""}"
124,MOVE,X,"{""position"": ""0,2"", ""board"": ""O-XXX---O""}"
125,MOVE,O,"{""position"": ""2,0"", ""board"": ""O-XXX-O-O""}"
126,MOVE,X,"{""position"": ""2,1"", ""board"": ""O-XXX-OXO""}"
127,MOVE,O,"{""position"": ""0,1"", ""board"": ""OOXXX-OXO""}"
128,MOVE,X,"{""position"": ""1,2"", ""board"": ""OOXXXXOXO""}"
129,GAME_END,system,"{""result"": ""X"", ""final_board"": ""OOXXXXOXO""}"
130,GAME_START,system,{}
131,MOVE,X,"{""position"": ""2,1"", ""board"": ""-------X-""}"
132,MOVE,O,"{""position"": ""0,2"", ""board"": ""--O----X-""}"
133,MOVE,X,"{""position"": ""1,1"", ""board"": ""--O-X--X-""}"
134,MOVE,O,"{""position"": ""0,0"", ""board"": ""O-O-X--X-""}"
135,MOVE,X,"{""position"": ""0,1"", ""board"": ""OXO-X--X-""}"
136,GAME_END,system,"{""result"": ""X"", ""final_board"": ""OXO-X--X-""}"
137,GAME_START,system,{}
138,MOVE,X,"{""position"": ""0,0"", ""board"": ""X--------""}"
139,MOVE,O,"{""position"": ""0,2"", ""board"": ""X-O------""}"
140,MOVE,X,"{""position"": ""0,1"", ""board"": ""XXO------""}"
141,MOVE,O,"{""position"": ""1,2"", ""board"": ""XXO--O---""}"
142,MOVE,X,"{""position"": ""1,0"", ""board"": ""XXOX-O---""}"
143,MOVE,O,"{""position"": ""2,1"", ""board"": ""XXOX-O-O-""}"
144,MOVE,X,"{""position"": ""2,2"", ""board"": ""XXOX-O-OX""}"
145,MOVE,O,"{""position"": ""1,1"", ""board"": ""XXOXOO-OX""}"
146,MOVE,X,"{""position"": ""2,0"", ""board"": ""XXOXOOXOX""}"
147,GAME_END,system,"{""result"": ""X"", ""final_board"": ""XXOXOOXOX""}"
148,GAME_START,system,{}
149,MOVE,X,"{""position"": ""0,1"", ""board"": ""-X-------""}"
150,MOVE,O,"{""position"": ""2,1"", ""board"": ""-X-----O-""}"
151,MOVE,X,"{""position"": ""0,2"", ""board"": ""-XX----O-""}"
152,MOVE,O,"{""position"": ""0,0"", ""board"": ""OXX----O-""}"
153,MOVE,X,"{""position"": ""2,2"", ""board"": ""OXX----OX""}"
154,MOVE,O,"{""position"": ""1,1"", ""board"": ""OXX-O--OX""}"
155,MOVE,X,"{""position"": ""1,2"", ""board"": ""OXX-OX-OX""}"
156,GAME_END,system,"{""result"": ""X"", ""final_board"": ""OXX-OX-OX""}"
157,GAME_START,system,{}
158,MOVE,X,"{""position"": ""0,0"", ""board"": ""X--------""}"
159,MOVE,O,"{""position"": ""0,2"", ""board"": ""X-O------""}"
160,MOVE,X,"{""position"": ""2,0"", ""board"": ""X-O---X--""}"
161,MOVE,O,"{""position"": ""1,1"", ""board"": ""X-O-O-X--""}"
162,MOVE,X,"{""position"": ""1,2"", ""board"": ""X-O-OXX--""}"
163,MOVE,O,"{""position"": ""2,1"", ""board"": ""X-O-OXXO-""}"
164,MOVE,X,"{""position"": ""0,1"", ""board"": ""XXO-OXXO-""}"
165,MOVE,O,"{""position"": ""2,2"", ""board"": ""XXO-OXXOO""}"
166,MOVE,X,"{""position"": ""1,0"", ""board"": ""XXOXOXXOO""}"
167,GAME_END,system,"{""result"": ""X"", ""final_board"": ""XXOXOXXOO""}"
168,GAME_START,system,{}
169,MOVE,X,"{""position"": ""1,0"", ""board"": ""---X-----""}"
170,MOVE,O,"{""position"": ""0,1"", ""board"": ""-O-X-----""}"
171,MOVE,X,"{""position"": ""0,2"", ""board"": ""-OXX-----""}"
172,MOVE,O,"{""position"": ""2,1"", ""board"": ""-OXX---O-""}"
173,MOVE,X,"{""position"": ""2,0"", ""board"": ""-OXX--XO-""}"
174,MOVE,O,"{""position"": ""2,2"", ""board"": ""-OXX--XOO""}"
175,MOVE,X,"{""position"": ""0,0"", ""board"": ""XOXX--XOO""}"
176,GAME_END,system,"{""result"": ""X"", ""final_board"": ""XOXX--XOO""}"
177,GAME_START,system,{}
178,MOVE,X,"{""position"": ""1,2"", ""board"": ""-----X---""}"
179,MOVE,O,"{""position"": ""0,1"", ""board"": ""-O---X---""}"
180,MOVE,X,"{""position"": ""2,1"", ""board"": ""-O---X-X-""}"
181,MOVE,O,"{""position"": ""0,2"", ""board"": ""-OO--X-X-""}"
182,MOVE,X,"{""position"": ""2,2"", ""board"": ""-OO--X-XX""}"
183,MOVE,O,"{""position"": ""0,0"", ""board"": ""OOO--X-XX""}"
184,GAME_END,system,"{""result"": ""O"", ""final_board"": ""OOO--X-XX""}"
185,GAME_START,system,{}
186,MOVE,X,"{""position"": ""0,1"", ""board"": ""-X-------""}"
187,MOVE,O,"{""position"": ""2,1"", ""board"": ""-X-----O-""}"
188,MOVE,X,"{""position"": ""0,2"", ""board"": ""-XX----O-""}"
189,MOVE,O,"{""position"": ""2,2"", ""board"": ""-XX----OO""}"
190,MOVE,X,"{""position"": ""1,1"", ""board"": ""-XX-X--OO""}"
191,MOVE,O,"{""position"": ""1,2"", ""board"": ""-XX-XO-OO""}"
192,MOVE,X,"{""position"": ""2,0"", ""board"": ""-XX-XOXOO""}"
193,GAME_END,system,"{""result"": ""X"", ""final_board"": ""-XX-XOXOO""}"
194,GAME_START,system,{}
195,MOVE,X,"{""position"": ""0,2"", ""board"": ""--X------""}"
196,MOVE,O,"{""position"": ""1,2"", ""board"": ""--X--O---""}"
197,MOVE,X,"{""position"": ""1,0"", ""board"": ""--XX-O---""}"
198,MOVE,O,"{""position"": ""1,1"", ""board"": ""--XXOO---""}"
199,MOVE,X,"{""position"": ""2,2"", ""board"": ""--XXOO--X""}"
200,MOVE,O,"{""position"": ""0,0"", ""board"": ""O-XXOO--X""}"
201,MOVE,X,"{""position"": ""2,1"", ""board"": ""O-XXOO-XX""}"
202,MOVE,O,"{""position"": ""0,1"", ""board"": ""OOXXOO-XX""}"
203,MOVE,X,"{""position"": ""2,0"", ""board"": ""OOXXOOXXX""}"
204,GAME_END,system,"{""result"": ""X"", ""final_board"": ""OOXXOOXXX""}"
205,GAME_START,system,{}
206,MOVE,X,"{""position"": ""0,1"", ""board"": ""-X-------""}"
207,MOVE,O,"{""position"": ""1,2"", ""board"": ""-X---O---""}"
208,MOVE,X,"{""position"": ""0,2"", ""board"": ""-XX--O---""}"
209,MOVE,O,"{""position"": ""1,0"", ""board"": ""-XXO-O---""}"
210,MOVE,X,"{""position"": ""0,0"", ""board"": ""XXXO-O---""}"
211,GAME_END,system,"{""result"": ""X"", ""final_board"": ""XXXO-O---""}"
212,GAME_START,system,{}
213,MOVE,X,"{""position"": ""1,1"", ""board"": ""----X----""}"
214,MOVE,O,"{""position"": ""0,1"", ""board"": ""-O--X----""}"
215,MOVE,X,"{""position"": ""1,0"", ""board"": ""-O-XX----""}"
216,MOVE,O,"{""position"": ""0,0"", ""board"": ""OO-XX----""}"
217,MOVE,X,"{""position"": ""2,1"", ""board"": ""OO-XX--X-""}"
218,MOVE,O,"{""position"": ""2,2"", ""board"": ""OO-XX--XO""}"
219,MOVE,X,"{""position"": ""1,2"", ""board"": ""OO-XXX-XO""}"
220,GAME_END,system,"{""result"": ""X"", ""final_board"": ""OO-XXX-XO""}"
221,GAME_START,system,{}
222,MOVE,X,"{""position"": ""1,0"", ""board"": ""---X-----""}"
223,MOVE,O,"{""position"": ""0,1"", ""board"": ""-O-X-----""}"
224,MOVE,X,"{""position"": ""2,1"", ""board"": ""-O-X---X-""}"
225,MOVE,O,"{""position"": ""2,2"", ""board"": ""-O-X---XO""}"
226,MOVE,X,"{""position"": ""1,1"", ""board"": ""-O-XX--XO""}"
227,MOVE,O,"{""position"": ""0,2"", ""board"": ""-OOXX--XO""}"
228,MOVE,X,"{""position"": ""0,0"", ""board"": ""XOOXX--XO""}"
229,MOVE,O,"{""position"": ""1,2"", ""board"": ""XOOXXO-XO""}"
230,GAME_END,system,"{""result"": ""O"", ""final_board"": ""XOOXXO-XO""}"
231,GAME_START,system,{}
232,MOVE,X,"{""position"": ""2,0"", ""board"": ""------X--""}"
233,MOVE,O,"{""position"": ""2,1"", ""board"": ""------XO-""}"
234,MOVE,X,"{""position"": ""0,0"", ""board"": ""X-----XO-""}"
235,MOVE,O,"{""position"": ""1,2"", ""board"": ""X----OXO-""}"
236,MOVE,X,"{""position"": ""1,0"", ""board"": ""X--X-OXO-""}"
237,GAME_END,system,"{""result"": ""X"", ""final_board"": ""X--X-OXO-""}"
238,GAME_START,system,{}
239,MOVE,X,"{""position"": ""1,0"", ""board"": ""---X-----""}"
240,MOVE,O,"{""position"": ""2,1"", ""board"": ""---X---O-""}"
241,MOVE,X,"{""position"": ""2,2"", ""board"": ""---X---OX""}"
242,MOVE,O,"{""position"": ""0,0"", ""board"": ""O--X---OX""}"
243,MOVE,X,"{""position"": ""1,1"", ""board"": ""O--XX--OX""}"
244,MOVE,O,"{""position"": ""1,2"", ""board"": ""O--XXO-OX""}"
245,MOVE,X,"{""position"": ""0,2"", ""board"": ""O-XXXO-OX""}"
246,MOVE,O,"{""position"": ""2,0"", ""board"": ""O-XXXOOOX""}"
247,MOVE,X,"{""position"": ""0,1"", ""board"": ""OXXXXOOOX""}"
248,GAME_END,system,"{""result"": ""draw"", ""final_board"": ""OXXXXOOOX""}"
249,GAME_START,system,{}
250,MOVE,X,"{""position"": ""2,2"", ""board"": ""--------X""}"
251,MOVE,O,"{""position"": ""1,2"", ""board"": ""-----O--X""}"
252,MOVE,X,"{""position"": ""2,0"", ""board"": ""-----OX-X""}"
253,MOVE,O,"{""position"": ""1,0"", ""board"": ""---O-OX-X""}"
254,MOVE,X,"{""position"": ""0,2"", ""board"": ""--XO-OX-X""}"
255,MOVE,O,"{""position"": ""0,0"", ""board"": ""O-XO-OX-X""}"
256,MOVE,X,"{""position"": ""0,1"", ""board"": ""OXXO-OX-X""}"
257,MOVE,O,"{""position"": ""2,1"", ""board"": ""OXXO-OXOX""}"
258,MOVE,X,"{""position"": ""1,1"", ""board"": ""OXXOXOXOX""}"
259,GAME_END,system,"{""result"": ""X"", ""final_board"": ""OXXOXOXOX""}"
260,GAME_START,system,{}
261,MOVE,X,"{""position"": ""1,1"", ""board"": ""----X----""}"
262,MOVE,O,"{""position"": ""0,0"", ""board"": ""O---X----""}"
263,MOVE,X,"{""position"": ""2,2"", ""board"": ""O---X---X""}"
264,MOVE,O,"{""position"": ""1,2"", ""board"": ""O---XO--X""}"
265,MOVE,X,"{""position"": ""2,1"", ""board"": ""O---XO-XX""}"
266,MOVE,O,"{""position"": ""2,0"", ""board"": ""O---XOOXX""}"
267,MOVE,X,"{""position"": ""1,0"", ""board"": ""O--XXOOXX""}"
268,MOVE,O,"{""position"": ""0,1"", ""board"": ""OO-XXOOXX""}"
269,MOVE,X,"{""position"": ""0,2"", ""board"": ""OOXXXOOXX""}"
270,GAME_END,system,"{""result"": ""draw"", ""final_board"": ""OOXXXOOXX""}"
271,GAME_START,system,{}
272,MOVE,X,"{""position"": ""2,1"", ""board"": ""-------X-""}"
273,MOVE,O,"{""position"": ""0,2"", ""board"": ""--O----X-""}"
274,MOVE,X,"{""position"": ""2,0"", ""board"": ""--O---XX-""}"
275,MOVE,O,"{""position"": ""1,2"", ""board"": ""--O--OXX-""}"
276,MOVE,X,"{""position"": ""2,2"", ""board"": ""--O--OXXX""}"
277,GAME_END,system,"{""result"": ""X"", ""final_board"": ""--O--OXXX""}"
278,GAME_START,system,{}
279,MOVE,X,"{""position"": ""0,0"", ""board"": ""X--------""}"
280,MOVE,O,"{""position"": ""1,1"", ""board"": ""X---O----""}"
281,MOVE,X,"{""position"": ""0,1"", ""board"": ""XX--O----""}"
282,MOVE,O,"{""position"": ""1,2"", ""board"": ""XX--OO---""}"
283,MOVE,X,"{""position"": ""0,2"", ""board"": ""XXX-OO---""}"
284,GAME_END,system,"{""result"": ""X"", ""final_board"": ""XXX-OO---""}"
285,GAME_START,system,{}
286,MOVE,X,"{""position"": ""1,1"", ""board"": ""----X----""}"
287,MOVE,O,"{""position"": ""1,0"", ""board"": ""---OX----""}"
288,MOVE,X,"{""position"": ""0,2"", ""board"": ""--XOX----""}"
289,MOVE,O,"{""position"": ""0,0"", ""board"": ""O-XOX----""}"
290,MOVE,X,"{""position"": ""2,1"", ""board"": ""O-XOX--X-""}"
291,MOVE,O,"{""position"": ""2,0"", ""board"": ""O-XOX-OX-""}"
292,GAME_END,system,"{""result"": ""O"", ""final_board"": ""O-XOX-OX-""}"
293,GAME_START,system,{}
294,MOVE,X,"{""position"": ""0,0"", ""board"": ""X--------""}"
295,MOVE,O,"{""position"": ""2,2"", ""board"": ""X-------O""}"
296,MOVE,X,"{""position"": ""0,1"", ""board"": ""XX------O""}"
297,MOVE,O,"{""position"": ""2,0"", ""board"": ""XX----O-O""}"
298,MOVE,X,"{""position"": ""1,0"", ""board"": ""XX-X--O-O""}"
299,MOVE,O,"{""position"": ""0,2"", ""board"": ""XXOX--O-O""}"
300,MOVE,X,"{""position"": ""2,1"", ""board"": ""XXOX--OXO""}"
301,MOVE,O,"{""position"": ""1,2"", ""board"": ""XXOX-OOXO""}"
302,GAME_END,system,"{""result"": ""O"", ""final_board"": ""XXOX-OOXO""}"
303,GAME_START,system,{}
304,MOVE,X,"{""position"": ""0,1"", ""board"": ""-X-------""}"
305,MOVE,O,"{""position"": ""1,0"", ""board"": ""-X-O-----""}"
306,MOVE,X,"{""position"": ""2,0"", ""board"": ""-X-O--X--""}"
307,MOVE,O,"{""position"": ""1,1"", ""board"": ""-X-OO-X--""}"
308,MOVE,X,"{""position"": ""2,1"", ""board"": ""-X-OO-XX-""}"
309,MOVE,O,"{""position"": ""0,2"", ""board"": ""-XOOO-XX-""}"
310,MOVE,X,"{""position"": ""2,2"", ""board"": ""-XOOO-XXX""}"
311,GAME_END,system,"{""result"": ""X"", ""final_board"": ""-XOOO-XXX""}"
312,GAME_START,system,{}
313,MOVE,X,"{""position"": ""1,1"", ""board"": ""----X----""}"
314,MOVE,O,"{""position"": ""2,2"", ""board"": ""----X---O""}"
315,MOVE,X,"{""position"": ""2,0"", ""board"": ""----X-X-O""}"
316,MOVE,O,"{""position"": ""0,1"", ""board"": ""-O--X-X-O""}"
317,MOVE,X,"{""position"": ""0,2"", ""board"": ""-OX-X-X-O""}"
318,GAME_END,system,"{""result"": ""X"", ""final_board"": ""-OX-X-X-O""}"
319,GAME_START,system,{}
320,MOVE,X,"{""position"": ""0,2"", ""board"": ""--X------""}"
321,MOVE,O,"{""position"": ""2,1"", ""board"": ""--X----O-""}"
322,MOVE,X,"{""position"": ""2,2"", ""board"": ""--X----OX""}"
323,MOVE,O,"{""position"": ""1,2"", ""board"": ""--X--O-OX""}"
324,MOVE,X,"{""position"": ""0,1"", ""board"": ""-XX--O-OX""}"
325,MOVE,O,"{""position"": ""2,0"", ""board"": ""-XX--OOOX""}"
326,MOVE,X,"{""position"": ""1,1"", ""board"": ""-XX-XOOOX""}"
327,MOVE,O,"{""position"": ""1,0"", ""board"": ""-XXOXOOOX""}"
328,MOVE,X,"{""position"": ""0,0"", ""board"": ""XXXOXOOOX""}"
329,GAME_END,system,"{""result"": ""X"", ""final_board"": ""XXXOXOOOX""}"
330,GAME_START,system,{}
331,MOVE,X,"{""position"": ""0,0"", ""board"": ""X--------""}"
332,MOVE,O,"{""position"": ""0,2"", ""board"": ""X-O------""}"
333,MOVE,X,"{""position"": ""0,1"", ""board"": ""XXO------""}"
334,MOVE,O,"{""position"": ""1,1"", ""board"": ""XXO-O----""}"
335,MOVE,X,"{""position"": ""2,1"", ""board"": ""XXO-O--X-""}"
336,MOVE,O,"{""position"": ""2,2"", ""board"": ""XXO-O--XO""}"
337,MOVE,X,"{""position"": ""2,0"", ""board"": ""XXO-O-XXO""}"
338,MOVE,O,"{""position"": ""1,2"", ""board"": ""XXO-OOXXO""}"
339,GAME_END,system,"{""result"": ""O"", ""final_board"": ""XXO-OOXXO""}"
340,GAME_START,system,{}
341,MOVE,X,"{""position"": ""0,0"", ""board"": ""X--------""}"
342,MOVE,O,"{""position"": ""2,1"", ""board"": ""X------O-""}"
343,MOVE,X,"{""position"": ""0,1"", ""board"": ""XX-----O-""}"
344,MOVE,O,"{""position"": ""2,2"", ""board"": ""XX-----OO""}"
345,MOVE,X,"{""position"": ""2,0"", ""board"": ""XX----XOO""}"
346,MOVE,O,"{""position"": ""0,2"", ""board"": ""XXO---XOO""}"
347,MOVE,X,"{""position"": ""1,0"", ""board"": ""XXOX--XOO""}"
348,GAME_END,system,"{""result"": ""X"", ""final_board"": ""XXOX--XOO""}"
349,GAME_START,system,{}
350,MOVE,X,"{""position"": ""2,0"", ""board"": ""------X--""}"
351,MOVE,O,"{""position"": ""0,0"", ""board"": ""O-----X--""}"
352,MOVE,X,"{""position"": ""0,1"", ""board"": ""OX----X--""}"
353,MOVE,O,"{""position"": ""2,2"", ""board"": ""OX----X-O""}"
354,MOVE,X,"{""position"": ""1,1"", ""board"": ""OX--X-X-O""}"
355,MOVE,O,"{""position"": ""1,2"", ""board"": ""OX--XOX-O""}"
356,MOVE,X,"{""position"": ""1,0"", ""board"": ""OX-XXOX-O""}"
357,MOVE,O,"{""position"": ""2,1"", ""board"": ""OX-XXOXOO""}"
358,MOVE,X,"{""position"": ""0,2"", ""board"": ""OXXXXOXOO""}"
359,GAME_END,system,"{""result"": ""X"", ""final_board"": ""OXXXXOXOO""}"
360,GAME_START,system,{}
361,MOVE,X,"{""position"": ""0,2"", ""board"": ""--X------""}"
362,MOVE,O,"{""position"": ""1,0"", ""board"": ""--XO-----""}"
363,MOVE,X,"{""position"": ""1,2"", ""board"": ""--XO-X---""}"
364,MOVE,O,"{""position"": ""0,1"", ""board"": ""-OXO-X---""}"
365,MOVE,X,"{""position"": ""0,0"", ""board"": ""XOXO-X---""}"
366,MOVE,O,"{""position"": ""2,1"", ""board"": ""XOXO-X-O-""}"
367,MOVE,X,"{""position"": ""2,2"", ""board"": ""XOXO-X-OX""}"
368,GAME_END,system,"{""result"": ""X"", ""final_board"": ""XOXO-X-OX""}"
369,GAME_START,system,{}
370,MOVE,X,"{""position"": ""2,0"", ""board"": ""------X--""}"
371,MOVE,O,"{""position"": ""1,2"", ""board"": ""-----OX--""}"
372,MOVE,X,"{""position"": ""0,2"", ""board"": ""--X--OX--""}"
373,MOVE,O,"{""position"": ""0,0"", ""board"": ""O-X--OX--""}"
374,MOVE,X,"{""position"": ""1,0"", ""board"": ""O-XX-OX--""}"
375,MOVE,O,"{""position"": ""0,1"", ""board"": ""OOXX-OX--""}"
376,MOVE,X,"{""position"": ""1,1"", ""board"": ""OOXXXOX--""}"
